M1,M2,M3,K,A,B,E,G
4930.801779640791,469.999999999939,299.99999999952036,5006.3824711605985,13.841131400708175,-0.20229655790001302,39.983029876370416,52.30395299945869
4944.910598984946,458.79090968479676,299.99999999999636,4758.715699610239,8.126220864728603,-0.5730528317547091,25.94553969767372,63.3832772341284
4938.881495818002,460.509707737144,299.9999999999603,4988.643250247635,12.414323220773296,7.540998549210761,18.21702331285526,58.44513582708719
4912.300485686782,466.72960389087024,299.9999999999906,5107.509076739252,8.619170753552526,3.350589939380361,41.14140288022055,63.94686199618768
4945.76009761577,469.9999999999369,295.1008173560608,4969.380532877811,16.21672416156454,1.3795370268212537,37.97087669954491,51.69218798985645
4915.547611293944,466.95918449677913,299.9999999967332,4973.972634367209,5.76265106287773,-0.02521287017573619,33.17724945649055,65.1538271495778
4918.637652574538,468.2490161985893,299.99999999999244,5184.80775136553,10.095917734846068,8.4855124312914,38.506733805182776,59.928213835750775
4922.522067841016,466.4019508042164,299.99999999831283,5100.626822169988,10.541785017847584,5.550465189325119,37.564854049740255,60.187028872139734
4922.24836386338,463.0463923560897,299.9999999998505,5000.644553319482,10.077577698739509,-1.6868548825838128,34.63284516712488,61.46902515668171
4922.52848859515,469.9999999943295,299.8453281955434,4868.1050909478645,8.522990541446422,0.0034321616444358913,42.91607637537213,61.322193771998975
4922.404622280858,446.09388961754064,299.9999999976237,5120.743429601474,12.286560864106402,0.3165249110874143,30.026274957544278,65.74003234843671
4936.306832407435,469.999999998483,297.92946403170623,5178.088820508197,9.186702588619456,4.149311005368907,41.69013658704287,54.78593054823005
4931.349585129351,469.9999999996228,299.541180820555,5170.977472597067,8.230398629172555,-1.0396017944423448,37.39689522561406,56.45374426757715
4913.4281868414255,450.94101288519647,299.99999999999307,4885.522087703442,8.342780912490232,7.454467182493877,22.93256141533868,74.13832234679715
4934.879240308116,461.2017223354616,299.99999999869084,4954.879121057602,8.211373028977459,-1.8857063461028416,30.881816321694796,60.86550994322206
