0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state
6083.329338281363,6098.335389718409,6328.328875494244,6335.833964511653,6335.8298379138805,6343.33492693129,6355.8365309640185,6575.828733513669,6588.3303375463975,6575.832860111442,6583.333822531079,6595.835426563807,6613.337672209626,6583.3296959333065,6598.335747370353
6076.83718264215,6106.784347426035,6322.059492332565,6344.506656858562,6329.559492590454,6352.006657116451,6364.506657546266,6569.781802108943,6582.281802538759,6584.728966377051,6592.22896663494,6604.728967064755,6622.228967666496,6577.281802366832,6607.228967150718
6086.651588122931,6116.65154319858,6324.563650927236,6340.761798974693,6338.365457955429,6354.5636060028855,6377.566617716539,6567.076316074274,6590.0793277879275,6569.472657093537,6583.2744641217305,6606.277475835384,6638.4816922345,6580.878123102466,6610.878078178115
6050.013405140323,6066.501093154041,6307.785194741756,6309.273067236996,6322.785010260233,6324.272882755474,6349.27257528627,6570.556922849348,6595.556615380144,6557.044979826111,6572.044795344588,6597.044487875384,6632.044057418499,6585.556738367825,6602.044426381543
6067.185195591374,6092.338452127181,6338.658002146946,6356.310553719781,6346.158707109919,6363.811258682753,6376.312433621041,6612.631043690175,6625.132218628463,6622.782890300036,6630.283595263009,6642.784770201297,6660.2864151149,6620.131748653148,6645.2850051889545
6050.522520142341,6071.656645883329,6322.4918357357765,6328.625974788022,6337.4918224245175,6343.625961476764,6368.6259392913325,6599.461146892126,6624.461124706694,6590.59529925563,6605.595285944371,6630.595263758941,6665.595232699337,6614.461133580867,6635.595259321854
6067.693487498013,6093.219353711811,6323.192529956663,6333.718898849699,6338.192027277424,6348.71839617046,6373.717558371729,6583.6914048555645,6608.690567056833,6579.2182764278405,6594.217773748602,6619.216935949869,6654.215763031645,6598.690902176326,6624.216768390123
6053.533697633662,6068.540985142547,6322.192812986273,6329.700099086985,6329.692814394445,6337.200100495157,6349.700102842111,6593.351928808274,6605.851931155228,6593.359213500814,6600.859214908986,6613.35921725594,6630.859220541676,6600.851930216447,6615.859217725331
6062.096975559685,6077.097569643475,6326.980727626909,6334.478409178077,6334.483640159532,6341.981321710699,6354.486175931737,6594.36545053834,6606.870304759378,6594.360219556884,6601.863132089507,6614.367986310545,6631.874782219998,6601.868363070963,6616.868957154753
6071.697043111902,6101.696369701117,6318.867189918918,6341.366165872728,6326.367540554323,6348.866516508133,6361.367100900475,6568.537453604402,6581.038037996744,6583.536078922807,6591.036429558212,6603.537013950554,6621.0378320998325,6576.037804239807,6606.037130829022
