Md1,Md2,Md3,Md4,Md5,MB,K,A,B,E,G
1304.521379426814,1152.2177249391366,999.5950626258796,869.3778186483463,1084.5224644023785,4730.188850435169,4620.366165302132,7.945346200650632,5.084734091935904,17.543147764274412,10.032455574181302
1251.633274176929,1083.4550692125936,959.0725924316273,831.6828100619017,1011.6091195726802,4754.905674287175,5160.540680356626,6.504503037530253,5.000000000000004,19.999999999831488,10.000000151387495
1385.6650365136359,1241.4797749064462,1099.999742164073,952.6941861483145,1107.7117430658645,4646.099380822368,4953.776475213496,5.000000723258728,9.999930934307738,19.99898106740818,10.001997183810245
1343.423143684651,1212.0409930671321,1057.8758799931998,915.5233759753195,1092.20649592079,4647.50850676956,5044.873340861041,6.925675052902028,5.00004095186999,19.999490232646917,19.653825519738326
1399.676900868506,1270.2378667442688,1099.8344678261797,965.3140830874352,1150.7031986670204,4630.600764776997,4835.251087746417,9.052919911786175,5.000061628429222,19.99994536532271,10.000000478672483
1232.7606903465062,1094.7362354908794,950.1976277139396,800.0000745807729,1011.9746732764995,4788.3835986447675,4722.469615089728,6.498822795884712,8.221295470315418,19.99984189445119,10.000000036502746
1393.1150616480134,1207.5615168206407,1099.9856493630684,960.3259320903862,1110.7640779988492,4644.384665306596,4851.907557967364,5.741702149410982,5.000018471556881,19.999999453645696,10.287626530826476
1412.000661424012,1256.8785683192064,1099.932499499992,974.121775779141,1136.4580201999108,4626.93643252476,5000.502481301076,5.000000077213793,5.00000021704371,19.999999157490514,10.08427003179588
1382.6119142713499,1245.2716888960451,1099.3762276450682,971.2994837084315,1148.8653982901244,4626.061602711193,4923.416440698505,8.94997958407573,5.001407016071167,19.999384241309468,12.288185991497274
1363.3317568384646,1254.7066597814367,1099.999999992855,950.7584331772402,1147.1017011975914,4607.226051212046,5187.089224528327,6.339604911517085,6.621488185338043,19.99999999943101,19.99999999933289
1274.0785087044537,1128.6320411254471,980.6223128509448,862.1542778626867,1026.3555426101614,4753.759863587136,4392.227742080532,9.99771621129028,5.000004449009923,19.981923574806366,10.003569815835032
1344.835674136868,1202.4239710538734,1074.9134953337195,957.0699223046504,1148.3327730086996,4614.136827690577,5376.399333734435,9.9998970710367,5.000676678837755,19.999031804508437,19.999610759751203
1376.0402477184657,1233.0427189223249,1099.9997959244208,967.1863442170195,1144.2422244020147,4611.214704059069,5342.668418857285,8.01640282900718,5.000578716126496,19.983786276047823,15.73224741824396
1366.9715904837446,1224.0716415485936,1099.9816850845032,976.4635264648306,1133.9999739418442,4606.796487562384,5001.837082147268,7.722453435026208,5.0000003947502885,19.99981686852425,19.98663389841993
1377.941848576514,1221.7858769924164,1099.9994877855029,983.5836807617826,1116.7273757603334,4627.953890400284,5183.545029902631,9.999999552708921,5.00000218277913,19.72993055884459,10.010436389225125
1412.154076149308,1252.3079438761124,1096.9974823588825,984.0636987081773,1138.7384150055689,4607.893524347277,5380.621053360784,7.557676195884558,5.00072004519642,19.99994200867293,12.789922875343695
1212.3081638038466,1082.050570136407,888.5632459396153,800.3819956177584,966.0792393191605,4812.694667102486,4810.410832772794,9.998121307481401,5.0002308889177485,19.28393888870856,10.010062841881636
1395.2492263966594,1228.1791814461185,1097.9971974582677,954.3161078348768,1133.7808193710182,4630.352616208683,5168.386961817962,8.541667705020284,5.236753026853762,19.999983075714706,11.564501204847323
1233.9676340300468,1095.7632944524871,980.7526036329356,800.8476717265787,1021.2984466634168,4769.488456430691,4880.547335082703,7.488328833069146,5.000006881620995,15.997659235774087,11.521901038240472
1372.9921581728167,1233.443015072873,1099.9580133002598,969.2719981740274,1165.9436276120234,4618.501145426097,4777.061870641904,5.00311340719032,5.000088204028875,14.391627843277135,18.80013865113064
1219.578967207159,1079.4474595284232,920.0976245890598,800.0000000084551,965.1633735098903,4762.000532684865,5025.991078562758,8.405862253192547,5.000000000007597,19.999999998287596,19.999999996206135
1368.576118696256,1219.896101838941,1095.3843444355757,965.5128546887348,1150.3307207459932,4605.7526331045465,4918.495430181515,9.999942385267223,5.00000241986325,19.99988393606162,19.99811781694788
1261.4145580195614,1107.0154670008296,957.2579824246097,829.2048107252978,1034.036763592613,4762.83695654683,4726.871559263253,9.994222092355768,5.001472402310755,11.49123239472813,10.000013644344676
1399.3014032786498,1263.5839661580692,1099.9934398644518,946.5143189789858,1150.488018223644,4633.662905764758,4901.330328430939,5.00000119293484,5.00000048394314,19.999990952800196,10.017546408149911
1268.8361598821602,1143.8492775253906,1003.4098896424791,849.3800546499941,1027.4909004902843,4752.747260605633,4873.594622684903,5.437722650352794,7.28015995341938,10.072816918200614,10.414941191420889
1388.1022204248648,1233.0130585043828,1099.9963157474683,969.0795662194428,1140.6499039669122,4643.536549386256,4857.75843087144,9.999984189397448,5.00000235504159,19.99996857626372,10.025465991984452
1361.1254955122658,1220.6633596923919,1094.7359397352757,972.9621543368715,1095.619909953218,4623.390614612855,4959.476784525636,6.561860881535774,6.925040560266864,19.999927338013617,19.999523779221075
1358.513168036562,1201.9296740019117,1083.5394539127108,962.9795365815179,1149.3199442736418,4613.448116665064,5061.965990137016,9.999984228323633,9.9999972025049,19.999665579000208,19.812638801889307
1396.376349623158,1265.4996721762384,1099.794062929597,943.5336024438491,1148.8932653876195,4620.07306909273,5091.909396429178,6.641056989829209,5.000009750370382,19.770184090299946,10.000001006230308
1234.6945251593643,1069.1737577126269,936.4245085756476,800.2210290687062,964.0264500879027,4759.581849356701,4866.916413876998,9.999911676038153,5.008241958679284,19.999834837148526,19.91633876697856
1250.150310391114,1104.8067341403646,971.2593522245922,800.000006385595,981.2160645609367,4778.225375652798,4797.012840278139,5.000000004677916,5.000000005193004,19.999026673827228,10.000004645861464
1364.0190846089345,1213.3996756102306,1099.9151728813547,956.8198629203362,1101.1899668714107,4653.793970832141,4963.080311861588,9.476176149593027,5.085480640936235,19.999975063931856,10.000021063643915
1253.278075126197,1079.3408199288153,964.7845702440113,810.0994588966727,971.4159552166614,4748.168688466292,5023.916403244112,5.000015068261532,5.000078064371124,19.999942933140698,19.98235283957524
1251.4832194361152,1084.8714001427115,939.9103444288897,800.0007058936857,970.4810418491368,4799.516298723263,4377.265741303352,8.193547610805156,5.000000000918417,19.99999999598782,10.000000002233518
1409.4656653848515,1238.962642933351,1099.7995409347325,991.5141981980122,1124.6807312586413,4633.462358027178,4503.1010428415375,5.84933398647291,5.846257807923399,16.34570863780741,10.007412897409585
1287.4868802067435,1162.7470050869724,992.4000639898829,891.4776220525001,1057.2528108798083,4708.184548902088,5269.034778899955,5.000000648683865,9.990283671957886,19.995334390694158,10.070111870413292
1365.8612866865813,1240.3414070477818,1099.876668975052,956.7159210782736,1133.3406682872842,4630.427695785118,4941.297583432575,9.99999950893364,5.000001544102625,19.999945668360116,12.590099740808073
1377.4472923377532,1197.3296263060627,1077.6035408116768,948.1090473018379,1090.7454765398254,4652.259451993105,5219.324705768818,8.387184902418364,9.99934292611541,19.99934189127149,10.576472252124592
1208.5335449241256,1081.6971228817083,912.4490167996266,800.0134364288909,933.0755810136592,4818.630602795503,4434.577211596046,5.000162682720688,9.999998735088646,15.550337811708097,11.029882574163864
1287.208299199017,1093.7894447411886,983.462209375236,800.0010444349923,999.0813881058785,4758.467185990677,4730.2376943506215,9.217101258183261,8.805241348502955,19.99341291372558,10.000199403914976
1337.0996745005668,1170.2871664790382,1040.5512379773352,888.0666445035791,1082.1345447894082,4693.617545080386,4767.73720794101,6.045360148023192,9.877128271853906,18.54800129434509,10.024300222382445
1381.7832473087503,1217.9333555442183,1099.9649546377175,948.8225118999162,1149.300645028514,4610.889957567903,5074.442682291105,9.999963671241144,8.827632852592105,19.99978589887459,17.089343480550433
1236.2750942579924,1116.9507581531916,948.7023085457139,800.0000000002934,1018.6658031181881,4778.971694168464,4734.737088205675,8.217957485360019,5.000000000003199,19.999954070877852,10.000000000365775
1397.7094045399374,1236.1092003417004,1089.6265418837643,966.9270043274036,1140.546217222378,4616.414070229092,4909.05113258996,8.301921910999937,5.001585092012873,19.999994700463898,18.295155743098046
1393.7646921753849,1252.2562630456894,1099.9432093567816,982.1274650753113,1152.3741675864205,4617.444025031674,4914.225005973539,9.999941296085353,8.948733520550721,19.231818540186627,12.269121723197753
1388.3637911826036,1259.6969177904398,1099.9966477858545,959.3199906669156,1112.3759255784962,4628.024169180297,5234.464543309727,5.004730298379627,9.256837941705827,19.999974417725724,10.001194853471695
1408.029638166787,1218.7944753219658,1075.8804231773706,999.999999019066,1150.4511280507475,4605.981102710956,4727.131873146911,9.99999996507741,5.550943977717259,19.999740727522212,19.99999824244827
1345.4160071869692,1225.596313040785,1099.944042685325,928.7419959167743,1098.3263583295552,4667.939175932551,5077.580460874769,5.00000079616891,5.007161661566009,18.6699508314869,10.831283692707636
1377.4306739269916,1222.250847079601,1072.0960594183696,964.8551120022335,1170.8837281005383,4608.3287523620575,5014.642294473948,9.999999636568047,5.000005215594949,19.99990983028972,19.84420613182613
1337.271033215172,1209.0379117098666,1051.857368241866,921.8354763953715,1110.8869196793116,4664.885629553905,5262.824062485115,9.999958517617152,5.000472498408148,19.863930385331,10.953623561155878
1201.9642741522175,1076.357112771712,931.4308699106455,800.0002728264261,965.7111279218568,4799.082233035678,4826.8973082792945,9.995161081373443,5.000638514528796,19.9996541199326,10.107114528081159
1255.2272813071231,1112.5828614292852,952.3612038933107,800.0001711916256,968.6834095782006,4780.487299434812,4736.414555490272,6.230260062271012,9.114711390687608,19.999993371041185,10.316151556161321
1377.6034374667097,1240.6743494561674,1094.350680870131,958.4150934107927,1109.7054103753119,4644.76360442517,4873.017076581643,9.999047684837173,5.003047897439007,12.01467394312405,10.010811316963816
1375.4384784157787,1201.8837027860393,1086.3885626438073,998.3895049819066,1146.1688990442126,4620.906631903136,4634.126467973509,9.996267750337768,9.99117148200965,19.997576159233837,19.88068798031201
1379.0628364886254,1234.5882108470787,1099.999825458409,976.8413005356757,1124.6429304020444,4639.350114505849,5000.438281043878,9.999999802717442,5.000000143656901,10.000010615558274,10.001026020113661
1339.8351107657797,1225.4729773421275,1072.6367874573841,890.6190796354982,1118.2810916271565,4666.503954447112,5014.102089246875,6.080167525890655,5.803300582124259,19.99792227297005,11.679744723006174
1209.5218838182195,1074.791303309449,910.4996026729849,800.0016176538463,955.313336337661,4783.162403321004,4988.535819588444,9.726931466126128,5.000000005761977,19.998824607824147,10.023973380439058
1363.741211133208,1214.389719036181,1099.1574572633465,964.0998339211372,1124.4702023888294,4625.884335379674,5132.158381881429,7.176643355018314,5.000083617007563,18.292605848216997,13.630461660409386
1207.9122570458503,1082.4258788195252,917.3757367764935,800.3261992970002,996.6933400404357,4781.680395863317,4619.635743317273,5.0001520061061635,5.000000723040413,19.99995688412068,18.63171810043639
1355.5535773873921,1204.7385468098844,1055.9199797827298,908.8391043887628,1102.5868875358474,4669.145118719582,5010.86841868131,9.999981732249816,5.388730087248145,16.678776409616166,10.233302882962917
1392.8061510244552,1267.3127076971532,1098.8274265639739,981.1895911359196,1154.0425175209882,4609.159238823766,4901.906576287772,9.999989686291256,9.34467100207515,19.99392498380543,10.448488675083567
