0_state,1_state,2_state,3_state,4_state,5_state,6_state,7_state,8_state,9_state,10_state,11_state,12_state,13_state,14_state
5914.8390363982035,5933.321911310018,6201.822670208823,6212.804105022517,6209.324110306943,6220.305545120637,6232.80794528417,6491.30678405215,6503.809184215683,6494.786778767725,6502.288218865845,6514.790619029377,6532.293979258323,6498.80822415027,6517.291099062084
5924.911651797742,5952.30780294718,6199.485399324928,6213.556518100114,6212.810431699179,6226.881550474366,6249.089937764785,6478.5008243101975,6500.709211600616,6479.246910711132,6492.571943085384,6514.780330375803,6545.87207258239,6491.825856684449,6519.222007833887
5905.302713034429,5935.302709532909,6182.660292525896,6205.160284413371,6190.160297136899,6212.660289024376,6225.160296709381,6462.517873554362,6475.017881239368,6477.517860830834,6485.017865441839,6497.517873126844,6515.017883885853,6470.017878165366,6500.017874663846
5930.372188625848,5960.372188625807,6208.166633195568,6230.666633195526,6215.666633195568,6238.166633195527,6250.666633195527,6488.461077765287,6500.961077765287,6503.461077765245,6510.961077765245,6523.461077765246,6540.961077765247,6495.961077765287,6525.961077765246
5926.7530706757725,5956.753069182198,6196.396097475162,6218.895999330866,6203.896194125883,6226.396095981587,6238.8962570661215,6468.539156491458,6481.039317575993,6483.538961696441,6491.039058347162,6503.539219431696,6521.039444950045,6476.0392531421785,6506.039251648604
5931.338864065537,5947.637708013131,6193.981925673395,6202.766210607785,6201.4964846866,6210.280769620989,6222.805034642996,6459.1298402856555,6471.654105307663,6460.399566206841,6467.914125220045,6480.438390242052,6497.972361272862,6466.64439929886,6482.943243246454
5926.3541485272835,5956.331605466335,6189.266587969114,6204.258437087486,6204.252195789794,6219.244044908165,6244.220057942633,6457.174230017839,6482.150243052307,6457.18047131553,6472.16607913621,6497.142092170678,6532.1085104189315,6472.15983783852,6502.137294777571
5928.13334184872,5958.132494321874,6202.858177609498,6225.356662949448,6210.358844742702,6232.857330082652,6245.358441971325,6480.083235748011,6492.5843476366845,6495.081053954758,6502.581721087961,6515.082832976635,6532.584389620777,6487.583902881215,6517.583055354369
5927.06671574725,5944.9059605675275,6164.618969279803,6169.442706996193,6177.634476383691,6182.458214100081,6204.150725939894,6406.50972518032,6428.202237020133,6398.3179557928215,6411.3334628967095,6433.025974736523,6463.395491312262,6419.525232284208,6437.364477104486
5899.941095448982,5929.6898004238465,6199.9137878650445,6219.776857660445,6209.799423044508,6229.662492839909,6246.138551472349,6503.181692007596,6519.657750640036,6513.159126623532,6523.044761802997,6539.520820435437,6562.587302520852,6513.06732718706,6542.816032161924
5944.855758090633,5972.297934199909,6218.330834458827,6238.269369092307,6225.834475934623,6245.773010568103,6258.27907969443,6494.307124652288,6506.813193778615,6506.742017809971,6514.245659285767,6526.751728412095,6544.260225188953,6501.810766128084,6529.25294223736
5919.970439380724,5937.571759041031,6187.176684416882,6197.2780040771895,6194.676684416882,6204.7780040771895,6217.2780040771895,6456.88292945304,6469.38292945304,6459.484249113346,6466.984249113346,6479.484249113347,6496.984249113348,6464.38292945304,6481.984249113347
5933.19194310096,5948.192239013354,6224.8248035296665,6232.323928043701,6232.325974928027,6239.8250994420605,6252.327051772661,6518.958054424494,6531.460006755095,6518.956007540168,6526.457178938527,6538.959131269128,6556.461864531969,6526.459225822854,6541.459521735248
5954.2247523844535,5984.218687880588,6212.878873733372,6228.079035529831,6227.672647433046,6242.872809229506,6267.529098728964,6476.46425298218,6501.120542481638,6476.8706410789655,6491.66441477864,6516.320704278098,6550.8395095773385,6491.258026681855,6521.251962177989
5928.477630874263,5951.251295432426,6176.425043347243,6191.698706788383,6183.9250444642685,6199.198707905408,6211.698709767114,6426.872456192566,6439.372458054272,6434.646118516682,6442.146119633705,6454.6461214954115,6472.146124101801,6434.372457309591,6457.146121867753
5925.480815470685,5955.480600908437,6189.304480422279,6211.803838011892,6196.804908270417,6219.304265860031,6231.804978940261,6455.628287989919,6468.12900107015,6470.627217731394,6478.127645579532,6490.628358659763,6508.129356972086,6463.128715838057,6493.128501275809
5919.383205560334,5934.813660951742,6189.580474295848,6190.012467870105,6204.578936112999,6205.010929687256,6230.008366049175,6464.7772303037455,6489.774666665664,6450.210762060852,6465.209223878003,6490.206660239921,6525.203071146606,6479.775692120897,6495.206147512305
5943.578160349157,5958.600495116688,6218.936066011888,6226.451220228625,6226.443246562682,6233.958400779419,6246.470368364076,6496.796365191552,6509.308332776209,6496.804338857494,6504.311519408288,6516.823486992946,6534.340241611465,6504.303545742346,6519.325880509877
5925.372446634466,5944.821441192545,6215.389367507454,6226.80630362796,6223.421425945026,6234.838362065533,6248.2251261281535,6508.083641192966,6521.470405255586,6511.4685188758995,6519.500577313472,6532.887341376093,6551.628811063762,6516.115699630538,6535.564694188617
